COONOOER WEST;3477;36
COOPERS CREEK;3825;34
COORIEMUNGLE;3268;228
COPE COPE;3480;140
CORA LYNN;3814;148
CORACK;3480;32
CORACK EAST;3480;35
CORAGULAC;3249;114
CORAL BANK;3691;67
CORINDHAP;3352;136
CORINELLA;3984;832
CORIO;3214;8431
CORNDALE;3311;77
CORNELLA;3551;90
CORNISHTOWN;3683;110
CORONET BAY;3984;1001
COROP;3559;291
COROROOKE;3254;180
CORRINGLE;3888;51
CORRYONG;3707;1052
CORUNNUN;3249;81
COSGROVE;3631;71
COSGROVE SOUTH;3631;65
COSTERFIELD;3523;157
COTSWOLD;3465;32
COTTLES BRIDGE;3099;253
COWA;3862;12
COWANGIE;3506;176
COWES;3922;7366
COWLEYS CREEK;3268;25
COWWARR;3857;272
CRAIGIE;3465;65
CRAIGIEBURN;3064;18219
CRANBOURNE;3977;9624
CRANBOURNE EAST;3977;5971
CRANBOURNE NORTH;3977;6921
CRANBOURNE SOUTH;3977;651
CRANBOURNE WEST;3977;5664
CREEK JUNCTION;3669;47
CREIGHTONS CREEK;3666;124
CREMORNE;3121;1819
CRESSY;3322;257
CRESWICK;3363;2345
CRESWICK NORTH;3363;31
CRIB POINT;3919;1977
CROOKAYAN;3858;1
CROOKED RIVER;3862;53
CROSS ROADS;3373;26
CROSSLEY;3283;154
CROSSOVER;3821;84
CROWLANDS;3377;125
CROXTON EAST;3301;99
CROYDON;3136;15745
CROYDON HILLS;3136;1747
CROYDON NORTH;3136;3500
CROYDON SOUTH;3136;2314
CRYMELON;3393;80
CUDGEE;3265;124
CUDGEWA;3705;326
CULGOA;3530;178
CULLA;3315;46
CULLEN;3568;44
CULLULLERAINE;3496;81
CUNDARE;3251;19
CUNDARE NORTH;3251;39
CURDIES RIVER;3268;23
CURDIEVALE;3268;111
CURLEWIS;3222;884
CURYO;3483;99
DADSWELLS BRIDGE;3385;93
DAISY HILL;3465;264
DALES CREEK;3341;199
DALLAS;3047;2538
DALMORE;3981;107
DALTONS BRIDGE;3568;47
DALYENONG;3477;53
DALYSTON;3992;656
DANDENONG;3175;19313
DANDENONG NORTH;3175;9629
DANDENONG SOUTH;3175;5240
DANDONGADALE;3737;46
DARGO;3862;449
DARLEY;3340;3807
DARLIMURLA;3871;54
DARLINGTON;3271;106
DARNUM;3822;366
DARRAWEIT GUIM;3756;212
DARRIMAN;3851;48
DARTMOOR;3304;1066
DARTMOUTH;3701;208
DAWSON;3858;56
DAYLESFORD;3460;2742
DEAN;3363;101
DEANS MARSH;3235;263
DEDDICK VALLEY;3888;63
DEDERANG;3691;161
DEEP LEAD;3385;207
DEEPDENE;3103;1131
DEER PARK;3023;7687
DELACOMBE;3356;3376
DELAHEY;3037;3302
DELATITE;3723;12
DELBURN;3871;38
DELEGATE RIVER;3888;71
DENICULL CREEK;3377;64
DENISON;3858;288
DENNINGTON;3280;912
DENVER;3461;118
DEPTFORD;3875;42
DERBY;3516;32
DEREEL;3352;530
DERGHOLM;3312;204
DERRIMUT;3030;3526
DERRINAL;3523;133
DERRINALLUM;3325;366
DEVENISH;3726;185
DEVILS RIVER;3714;37
DEVON MEADOWS;3977;645
DEVON NORTH;3971;249
DEWHURST;3808;65
DHURRINGILE;3610;146
DIAMOND CREEK;3089;4964
DIGBY;3309;195
DIGGERS REST;3427;1299
DIGGORA;3561;138
DIMBOOLA;3414;1515
DINGEE;3571;197
DINGLEY VILLAGE;3172;4600
DINGWALL;3579;134
DINNER PLAIN;3898;680
DIXIE;3265;77
DIXONS CREEK;3775;213
DOBIE;3377;55
DOCKER;3678;81
DOCKERS PLAINS;3678;56
DOCKLANDS;3008;10782
DOCTORS FLAT;3895;25
DOLLAR;3871;55
DON VALLEY;3139;489
DONALD;3480;1201
DONCASTER;3108;11430
DONCASTER EAST;3109;13562
DONNYBROOK;3064;71
DONVALE;3111;5463
DOOBOOBETIC;3478;64
DOOEN;3401;252
DOOKIE;3646;235
DOOKIE COLLEGE;3647;45
DOREEN;3754;8689
DORODONG;3312;189
DOUBLE BRIDGES;3893;19
DOUGLAS;3409;196
DOVETON;3177;4213
DREEITE;3249;104
DREEITE SOUTH;3249;29
DRIFFIELD;3840;101
DRIK DRIK;3304;88
DROMANA;3936;6064
DROPMORE;3660;24
DROUIN;3818;6835
DROUIN EAST;3818;94
DROUIN SOUTH;3818;186
DROUIN WEST;3818;195
DRUMANURE;3636;43
DRUMBORG;3304;149
DRUMCONDRA;3215;305
DRUMMARTIN;3570;49
DRUMMOND;3461;190
DRUMMOND NORTH;3446;164
DRUNG;3401;168
DRY DIGGINGS;3461;31
DRYSDALE;3222;2614
DUCHEMBEGARRA;3409;54
DUMBALK;3956;252
DUMBALK NORTH;3956;54
DUMOSA;3527;74
DUNACH;3371;85
DUNDONNELL;3271;87
DUNKELD;3294;704
DUNLUCE;3472;79
DUNNEWORTHY;3377;24
DUNNSTOWN;3352;185
DUNOLLY;3472;971
DUNROBIN;3312;75
DURDIDWARRAH;3342;22
DURHAM LEAD;3352;232
DURHAM OX;3576;131
DUTSON;3851;71
DUTSON DOWNS;3851;69
DUTTON WAY;3305;255
DUVERNEY;3323;28
EAGLE POINT;3878;840
EAGLEHAWK;3556;3497
EAGLEHAWK NORTH;3556;35
